time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.787	0.818	0.003	86.235	0.868	68.639	0.859	0.000	0.000
0.789	0.818	0.003	86.151	0.862	68.567	0.866	0.000	0.000
0.791	0.818	0.003	86.067	0.853	68.492	0.873	0.000	0.000
0.793	0.818	0.002	85.985	0.847	68.419	0.873	0.000	0.000
0.796	0.818	0.002	85.903	0.841	68.352	0.871	0.000	0.000
0.798	0.818	0.002	85.822	0.836	68.290	0.868	0.000	0.000
0.800	0.818	0.002	85.742	0.831	68.230	0.866	0.000	0.000
0.802	0.818	0.003	85.668	0.830	68.172	0.862	0.000	0.000
0.804	0.818	0.003	85.592	0.829	68.111	0.857	0.000	0.000
0.806	0.818	0.003	85.518	0.828	68.049	0.848	0.000	0.000
0.808	0.818	0.003	85.444	0.830	67.986	0.838	0.000	0.000
