Position on the Arterial Tree,Frequency(Rad/s),QTA(m^3/s),PI
221,7.853981634,1.9102925E-006,4.4694726069
222,7.853981634,1.9074275E-006,4.304226504
223,7.853981634,1.9046E-006,4.1730547097
224,7.853981634,1.90119E-006,4.0306334454
225,7.853981634,1.89888125E-006,3.8785995701
226,7.853981634,4.83941625E-006,5.1907086934
227,7.853981634,4.77937E-006,4.7621339214
228,7.853981634,4.731865E-006,4.2036279564
229,7.853981634,4.6882E-006,3.6041551128
230,7.853981634,4.646375E-006,3.0367759813
231,7.853981634,3.1156125E-006,3.0356791803
232,7.853981634,3.108625E-006,2.792231292
233,7.853981634,3.10025E-006,2.5836626079
234,7.853981634,3.091125E-006,2.3713049456
235,7.853981634,3.08325E-006,2.1568150491
236,7.853981634,2.636375E-006,3.3595372434
237,7.853981634,2.6215625E-006,3.0897604005
238,7.853981634,2.6055E-006,2.751871042
239,7.853981634,2.58875E-006,2.2481892805
240,7.853981634,2.569875E-006,1.8405564473
241,7.853981634,2.0103E-006,2.6468686266
242,7.853981634,2.000125E-006,2.424848447
243,7.853981634,1.990125E-006,2.1355442497
244,7.853981634,1.977625E-006,1.7546299223
245,7.853981634,1.9645E-006,1.4711122423
246,7.853981634,8.06565E-006,5.0336922629
247,7.853981634,8.0362E-006,4.8965929171
248,7.853981634,8.0063375E-006,4.748738109
